ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
310,1/1/2018,1/8/2018,21768,1,6,SO43697,1,2,1789.135,2171.2942,3578.27,286.2616
346,1/1/2018,1/8/2018,28389,1,7,SO43698,1,2,1699.995,1912.1544,3399.99,271.9992
346,1/1/2018,1/8/2018,25863,1,1,SO43699,1,2,1699.995,1912.1544,3399.99,271.9992
336,1/1/2018,1/8/2018,14501,1,4,SO43700,1,2,349.5491,413.1463,699.0982,55.9279
346,1/1/2018,1/8/2018,11003,1,9,SO43701,1,2,1699.995,1912.1544,3399.99,271.9992
311,1/2/2018,1/9/2018,27645,1,4,SO43702,1,4,894.5675,2171.2942,3578.27,286.2616
310,1/2/2018,1/9/2018,16624,1,9,SO43703,1,4,894.5675,2171.2942,3578.27,286.2616
351,1/2/2018,1/9/2018,11005,1,9,SO43704,1,4,843.7475,1898.0944,3374.99,269.9992
344,1/2/2018,1/9/2018,11011,1,9,SO43705,1,4,849.9975,1912.1544,3399.99,271.9992
312,1/3/2018,1/10/2018,27621,1,4,SO43706,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/3/2018,1/10/2018,27616,1,4,SO43707,1,1,3578.27,2171.2942,3578.27,286.2616
330,1/3/2018,1/10/2018,20042,1,10,SO43708,1,1,699.0982,413.1463,699.0982,55.9279
313,1/3/2018,1/10/2018,16351,1,9,SO43709,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/3/2018,1/10/2018,16517,1,9,SO43710,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/4/2018,1/11/2018,27606,1,1,SO43711,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/4/2018,1/11/2018,13513,1,8,SO43712,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/5/2018,1/12/2018,27601,1,4,SO43713,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/5/2018,1/12/2018,13591,1,10,SO43714,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/5/2018,1/12/2018,16483,1,9,SO43715,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/5/2018,1/12/2018,16529,1,9,SO43716,1,1,3578.27,2171.2942,3578.27,286.2616
336,1/5/2018,1/12/2018,25249,1,9,SO43717,1,1,699.0982,413.1463,699.0982,55.9279
311,1/6/2018,1/13/2018,27668,1,1,SO43718,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/6/2018,1/13/2018,27612,1,4,SO43719,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/6/2018,1/13/2018,13264,1,8,SO43720,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/6/2018,1/13/2018,13590,1,10,SO43721,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/7/2018,1/14/2018,13581,1,10,SO43722,1,1,3578.27,2171.2942,3578.27,286.2616
332,1/7/2018,1/14/2018,14520,1,1,SO43723,1,1,699.0982,413.1463,699.0982,55.9279
311,1/7/2018,1/14/2018,16520,1,9,SO43724,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/8/2018,1/15/2018,13258,1,8,SO43725,1,2,1789.135,2171.2942,3578.27,286.2616
332,1/8/2018,1/15/2018,14560,1,4,SO43726,1,2,349.5491,413.1463,699.0982,55.9279
311,1/8/2018,1/15/2018,16607,1,9,SO43727,1,2,1789.135,2171.2942,3578.27,286.2616
313,1/9/2018,1/16/2018,27666,1,4,SO43728,1,4,894.5675,2171.2942,3578.27,286.2616
346,1/9/2018,1/16/2018,11238,1,10,SO43729,1,4,849.9975,1912.1544,3399.99,271.9992
346,1/9/2018,1/16/2018,25861,1,4,SO43730,1,4,849.9975,1912.1544,3399.99,271.9992
314,1/9/2018,1/16/2018,16629,1,9,SO43731,1,4,894.5675,2171.2942,3578.27,286.2616
350,1/9/2018,1/16/2018,11025,1,9,SO43732,1,4,843.7475,1898.0944,3374.99,269.9992
312,1/9/2018,1/16/2018,27577,1,1,SO43733,1,4,894.5675,2171.2942,3578.27,286.2616
312,1/10/2018,1/17/2018,27604,1,1,SO43734,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/10/2018,1/17/2018,16522,1,9,SO43735,1,1,3578.27,2171.2942,3578.27,286.2616
346,1/10/2018,1/17/2018,11002,1,9,SO43736,1,1,3399.99,1912.1544,3399.99,271.9992
311,1/11/2018,1/18/2018,13261,1,8,SO43737,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/11/2018,1/18/2018,11606,1,7,SO43738,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/11/2018,1/18/2018,13563,1,10,SO43739,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/11/2018,1/18/2018,16527,1,9,SO43740,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/12/2018,1/19/2018,27671,1,1,SO43741,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/12/2018,1/19/2018,13576,1,10,SO43742,1,1,3578.27,2171.2942,3578.27,286.2616
347,1/12/2018,1/19/2018,11007,1,9,SO43743,1,1,3399.99,1912.1544,3399.99,271.9992
313,1/12/2018,1/19/2018,16631,1,9,SO43744,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/13/2018,1/20/2018,16514,1,9,SO43745,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/13/2018,1/20/2018,16616,1,9,SO43746,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/14/2018,1/21/2018,27623,1,4,SO43747,1,1,3578.27,2171.2942,3578.27,286.2616
313,1/14/2018,1/21/2018,27625,1,1,SO43748,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/14/2018,1/21/2018,27636,1,1,SO43749,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/14/2018,1/21/2018,11591,1,7,SO43750,1,1,3578.27,2171.2942,3578.27,286.2616
313,1/14/2018,1/21/2018,11592,1,7,SO43751,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/14/2018,1/21/2018,13265,1,8,SO43752,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/14/2018,1/21/2018,16482,1,9,SO43753,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/15/2018,1/22/2018,27617,1,1,SO43754,1,2,1789.135,2171.2942,3578.27,286.2616
311,1/15/2018,1/22/2018,27670,1,4,SO43755,1,2,1789.135,2171.2942,3578.27,286.2616
332,1/15/2018,1/22/2018,19941,1,10,SO43756,1,2,349.5491,413.1463,699.0982,55.9279
350,1/15/2018,1/22/2018,11017,1,9,SO43757,1,2,1687.495,1898.0944,3374.99,269.9992
310,1/16/2018,1/23/2018,27646,1,4,SO43758,1,4,894.5675,2171.2942,3578.27,286.2616
310,1/16/2018,1/23/2018,13257,1,8,SO43759,1,4,894.5675,2171.2942,3578.27,286.2616
314,1/16/2018,1/23/2018,16352,1,9,SO43760,1,4,894.5675,2171.2942,3578.27,286.2616
310,1/16/2018,1/23/2018,16493,1,9,SO43761,1,4,894.5675,2171.2942,3578.27,286.2616
314,1/17/2018,1/24/2018,27578,1,4,SO43762,1,1,3578.27,2171.2942,3578.27,286.2616
313,1/17/2018,1/24/2018,16525,1,9,SO43763,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/17/2018,1/24/2018,16612,1,9,SO43764,1,1,3578.27,2171.2942,3578.27,286.2616
346,1/17/2018,1/24/2018,11010,1,9,SO43765,1,1,3399.99,1912.1544,3399.99,271.9992
313,1/18/2018,1/25/2018,16518,1,9,SO43766,1,1,3578.27,2171.2942,3578.27,286.2616
350,1/18/2018,1/25/2018,11001,1,9,SO43767,1,1,3374.99,1898.0944,3374.99,269.9992
312,1/19/2018,1/26/2018,27649,1,1,SO43768,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/19/2018,1/26/2018,21659,1,6,SO43769,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/19/2018,1/26/2018,27614,1,1,SO43770,1,1,3578.27,2171.2942,3578.27,286.2616
330,1/19/2018,1/26/2018,14559,1,4,SO43771,1,1,699.0982,413.1463,699.0982,55.9279
312,1/19/2018,1/26/2018,16524,1,9,SO43772,1,1,3578.27,2171.2942,3578.27,286.2616
314,1/19/2018,1/26/2018,16526,1,9,SO43773,1,1,3578.27,2171.2942,3578.27,286.2616
313,1/19/2018,1/26/2018,16348,1,9,SO43774,1,1,3578.27,2171.2942,3578.27,286.2616
347,1/19/2018,1/26/2018,11027,1,9,SO43775,1,1,3399.99,1912.1544,3399.99,271.9992
314,1/20/2018,1/27/2018,13260,1,8,SO43776,1,1,3578.27,2171.2942,3578.27,286.2616
311,1/20/2018,1/27/2018,16515,1,9,SO43777,1,1,3578.27,2171.2942,3578.27,286.2616
345,1/20/2018,1/27/2018,11018,1,9,SO43778,1,1,3399.99,1912.1544,3399.99,271.9992
326,1/20/2018,1/27/2018,25252,1,9,SO43779,1,1,699.0982,413.1463,699.0982,55.9279
311,1/21/2018,1/28/2018,11599,1,7,SO43780,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/21/2018,1/28/2018,16495,1,9,SO43781,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/21/2018,1/28/2018,16516,1,9,SO43782,1,1,3578.27,2171.2942,3578.27,286.2616
312,1/21/2018,1/28/2018,16620,1,9,SO43783,1,1,3578.27,2171.2942,3578.27,286.2616
310,1/22/2018,1/29/2018,27667,1,4,SO43784,1,2,1789.135,2171.2942,3578.27,286.2616
311,1/22/2018,1/29/2018,11601,1,7,SO43785,1,2,1789.135,2171.2942,3578.27,286.2616
311,1/22/2018,1/29/2018,11607,1,7,SO43786,1,2,1789.135,2171.2942,3578.27,286.2616
344,1/22/2018,1/29/2018,29385,1,8,SO43787,1,2,1699.995,1912.1544,3399.99,271.9992
351,1/22/2018,1/29/2018,11239,1,10,SO43788,1,2,1687.495,1898.0944,3374.99,269.9992
351,1/22/2018,1/29/2018,25865,1,1,SO43789,1,2,1687.495,1898.0944,3374.99,269.9992
344,1/22/2018,1/29/2018,25857,1,1,SO43790,1,2,1699.995,1912.1544,3399.99,271.9992
